rms_theta,rms_q,rms_u,settling_time_0p05,lqr_cost,trial,seed,mode
0.04564090763788748,0.06618178638702642,0.1429036913345145,1.18,7.867387734489604,0,1016164991,pd_perfect
0.037797224293579595,0.06440042976209424,0.11701524556561332,0.86,5.944218014783332,1,1099128568,pd_perfect
0.03858782109580215,0.07205856585977835,0.12849676179359068,0.85,6.79610324729374,2,1621709874,pd_perfect
0.03590487355595804,0.059807595863698514,0.10533561091804167,0.89,5.187867880269716,3,2041105244,pd_perfect
0.03918103948936827,0.06517357091351951,0.12226055359515609,0.87,6.3002304631838,4,74845286,pd_perfect
0.039242053936328236,0.06994283902342084,0.12766860358686083,1.85,6.732024112906055,5,309580410,pd_perfect
0.037750715267892435,0.07203825765062803,0.12767607152046295,1.82,6.651275552822575,6,1767258088,pd_perfect
0.03989519252703,0.06348167238480984,0.12241043486185585,1.95,6.30705341559083,7,2037209174,pd_perfect
0.042336870630035585,0.07007729259415066,0.13813962549172662,0.91,7.452343851845426,8,535214420,pd_perfect
0.04175730966823116,0.06765199046862154,0.13423477400630052,0.98,7.109145845526999,9,669652943,pd_perfect
0.04165496456194036,0.06090960290620023,0.12522706870496284,1.08,6.485716594904887,10,1866217507,pd_perfect
0.042266975682537226,0.06683851215407975,0.13422773415952785,0.81,7.139952081884379,11,909086626,pd_perfect
0.03851724596423785,0.06231800091200561,0.11597500508492464,0.91,5.904238025702721,12,586626705,pd_perfect
0.036722907948849866,0.05861304079036737,0.1066153750945151,0.9500000000000001,5.256034239070309,13,1777477784,pd_perfect
0.03943590888013614,0.07262886309541713,0.13212723861505923,0.75,7.039720627290218,14,551886180,pd_perfect
0.04245709518751979,0.06177557628360894,0.1284260763862553,1.08,6.733821801211875,15,878748453,pd_perfect
0.04279276337728768,0.07412930170897067,0.14522849982045197,2.32,7.970775350706226,16,1382612244,pd_perfect
0.040524728746210756,0.06630677935717093,0.1279242628933057,0.84,6.6937834349910545,17,1180243456,pd_perfect
0.03743157218732151,0.07150781574932437,0.12498076887407536,2.25,6.514823300987263,18,184123696,pd_perfect
0.03733501533195393,0.06912034308352603,0.12167836934352626,0.81,6.2722339455580105,19,59182744,pd_perfect
0.041829627495424265,0.06848001164171943,0.13669655794576185,0.81,7.226951692649119,20,1858836761,pd_perfect
0.038179473242676114,0.06586289182183473,0.11981456193289862,0.9,6.146613778330536,21,1618157078,pd_perfect
0.03624901380564434,0.06530786231128338,0.11246500028012396,0.84,5.696520288910978,22,1799343697,pd_perfect
0.04755172902369282,0.07839211509799932,0.1617074146671269,2.99,9.530043029970555,23,1155653964,pd_perfect
0.04082256609803657,0.06110905814996714,0.12195268539148768,0.96,6.300684152735614,24,1755663523,pd_perfect
0.040996252471617534,0.06533239446774056,0.12691762182425614,2.04,6.6875444388622665,25,708093468,pd_perfect
0.039231360806037896,0.07436084290295036,0.13360445941978055,2.08,7.16387803669271,26,972122756,pd_perfect
0.03912330821493291,0.06264015446420848,0.11887644016341882,0.86,6.068899960929808,27,1693137747,pd_perfect
0.036199592050773624,0.06522180922176964,0.11274265329060874,0.8,5.688370162819787,28,266112162,pd_perfect
0.041521160009716424,0.07153672472684733,0.13765228110100322,0.87,7.4089280858582285,29,651105937,pd_perfect
0.042237741458929286,0.08039773945631272,0.14939143441090907,2.29,8.4514691119211,30,267191830,pd_perfect
0.03977681008150112,0.0692643636679995,0.1286492765467779,0.9,6.787912368030737,31,973879301,pd_perfect
0.04062999966634711,0.0689627105590931,0.13086775843765192,0.98,6.946872864292043,32,2097889540,pd_perfect
0.04146763480985918,0.0673984987557377,0.1314407183458074,2.71,6.98888131121667,33,287852352,pd_perfect
0.03610203882380113,0.07330918589455965,0.12468137795969801,0.64,6.444195787466798,34,823155374,pd_perfect
0.03977787709154515,0.06446103952061313,0.123435851393619,2.63,6.36966611614497,35,865678546,pd_perfect
0.04154715227334497,0.06842160009993867,0.13352413731536025,3.1,7.1124128523570285,36,1941050025,pd_perfect
0.04142309737942979,0.07687382028702114,0.14419433216808386,2.15,7.925146517547653,37,436916801,pd_perfect
0.05080697664502938,0.06633147598830783,0.15751662874157787,1.35,9.198680241439133,38,1078591221,pd_perfect
0.039334213463429885,0.06647520022311651,0.12332258310148887,0.85,6.429262823134021,39,563313608,pd_perfect
0.042258943868308856,0.0684052841490752,0.1364439086395334,2.1,7.288931698645288,40,42568569,pd_perfect
0.0369483102230724,0.06129958306652493,0.11043310080152655,0.9,5.511639460441042,41,1611395863,pd_perfect
0.04573632275450841,0.0761603259475974,0.1545294876749725,2.5,8.85089289195187,42,133188514,pd_perfect
0.04155903810627425,0.07294465574187811,0.13843484892033453,1.71,7.532920044562153,43,602173222,pd_perfect
0.04016373026440085,0.06593197514083837,0.12764875101519768,2.54,6.60553419953392,44,1069973050,pd_perfect
0.04172521258723648,0.06363556818840438,0.12823954955506975,0.8200000000000001,6.723687773417131,45,1041939683,pd_perfect
0.04406015454306826,0.059704295446405035,0.1319062382763935,1.46,6.95244080561485,46,251122470,pd_perfect
0.03806992025244393,0.07024115882760307,0.1241347392953121,2.22,6.505845931770894,47,2106117098,pd_perfect
0.0414187653923564,0.07109101164360807,0.13589556729752503,0.8300000000000001,7.324597007132518,48,1608686207,pd_perfect
0.04207422125367067,0.07797695792837601,0.14623119027946752,2.34,8.163066686868238,49,2065143097,pd_perfect
0.04240469941852349,0.07545590111804218,0.144700213964788,2.7,7.992536814506226,50,197792238,pd_perfect
0.04115973487937282,0.0662447927907844,0.1323232652293904,1.1500000000000001,6.878132879179094,51,1556474545,pd_perfect
0.04197619477951565,0.06610881735561693,0.13187171047725377,1.01,6.996060676205381,52,629526660,pd_perfect
0.04105578303162381,0.07138934981611,0.13538585294452044,2.58,7.275744633399141,53,1162275821,pd_perfect
0.040904496679734115,0.07494860866277177,0.1410017390874376,0.8,7.626232958987862,54,1986274267,pd_perfect
0.03765713083140191,0.06356688942958068,0.11484020215642736,0.9400000000000001,5.832425851101266,55,594619332,pd_perfect
