rms_theta,rms_q,rms_u,settling_time_0p05,lqr_cost,trial,seed,mode
0.0397941495998686,0.05003812018566641,0.16591447115041524,1.3900000000000001,6.456098689158078,0,1016164991,lqr_perfect
0.034689610324636265,0.05023272232876742,0.1469280858575741,1.02,5.2659031438487665,1,1099128568,lqr_perfect
0.03499663032534793,0.05442074867320208,0.16484563552516526,0.96,5.941219394159529,2,1621709874,lqr_perfect
0.03407707969414245,0.04690911567580625,0.13211568687685618,1.07,4.714364336906773,3,2041105244,lqr_perfect
0.03553754380884441,0.05143433176857185,0.1542070860119471,1.01,5.608286360016739,4,74845286,lqr_perfect
0.03459897299183572,0.05221581682801159,0.15371631939000047,0.99,5.505947934351633,5,309580410,lqr_perfect
0.033103818033404564,0.053762145725648865,0.15559301013601456,0.93,5.428389368726242,6,1767258088,lqr_perfect
0.03644010435244669,0.049029075070806956,0.14925814961918074,1.17,5.506259158436723,7,2037209174,lqr_perfect
0.037197800132129324,0.05137926254970538,0.1636641203223715,1.77,6.069426856201733,8,535214420,lqr_perfect
0.03714963631618832,0.05043858772693649,0.15801711523872633,1.22,5.879952767213367,9,669652943,lqr_perfect
0.03892743817797685,0.04879023515531731,0.15735746964851827,1.25,6.053276030265658,10,1866217507,lqr_perfect
0.03661629401853281,0.05117756638223228,0.15979167250195203,0.97,5.8805476421790175,11,909086626,lqr_perfect
0.036195188468041706,0.049100380895558265,0.14621749614442542,1.1400000000000001,5.4076941957457,12,586626705,lqr_perfect
0.03532882543847747,0.04699811427262606,0.13770084826582318,1.1400000000000001,5.003815933687651,13,1777477784,lqr_perfect
0.03403874796388355,0.05385283948553262,0.15951464885028785,0.9400000000000001,5.650261202864311,14,551886180,lqr_perfect
0.03844037844178549,0.04701007933712218,0.14935525659515367,1.29,5.711016626909335,15,878748453,lqr_perfect
0.03561273173243107,0.05477538740027914,0.17089331963109772,0.97,6.197839830713242,16,1382612244,lqr_perfect
0.03622618158778343,0.05169201799144631,0.157539366397364,1.0,5.797285072277457,17,1180243456,lqr_perfect
0.032449003925157836,0.05248219028297282,0.1478313926235503,0.89,5.100270787650251,18,184123696,lqr_perfect
0.03401562587454422,0.05216040880318916,0.15337240987141393,0.9500000000000001,5.4151888426544454,19,59182744,lqr_perfect
0.03625182590625867,0.05108200352919831,0.16120700526867085,1.05,5.856164997883183,20,1858836761,lqr_perfect
0.034547299842310204,0.05109369589175821,0.15015332278486,1.06,5.3607202381354515,21,1618157078,lqr_perfect
0.03351190696567945,0.04853494280523269,0.13149779915424037,0.96,4.703499821004588,22,1799343697,lqr_perfect
0.03881850504435632,0.05666822298947102,0.18496104081354922,1.05,7.1509798259431685,23,1155653964,lqr_perfect
0.036986927274692646,0.04848314206398074,0.14684665906374064,1.12,5.507104765230366,24,1755663523,lqr_perfect
0.03654751713391548,0.05104797331081354,0.15366547439918785,1.06,5.721757580530697,25,708093468,lqr_perfect
0.03246557516666989,0.054147239533978535,0.15401347010924557,0.85,5.3292799405371944,26,972122756,lqr_perfect
0.036781452355685605,0.0497355947273222,0.15450821962570635,1.62,5.709151621188365,27,1693137747,lqr_perfect
0.03468719819734673,0.050141221705448755,0.1437371089425965,0.96,5.192340874672517,28,266112162,lqr_perfect
0.0353601133715169,0.051562010944843216,0.15788915104378642,1.01,5.674740538913366,29,651105937,lqr_perfect
0.03359219816305168,0.05878063655417522,0.1753376211615058,0.79,6.259455994907109,30,267191830,lqr_perfect
0.03558975111663509,0.05219126944513162,0.15684861641551534,1.04,5.715735219123366,31,973879301,lqr_perfect
0.03669282385908433,0.05119900170735905,0.15770155976549888,1.1400000000000001,5.843759397905553,32,2097889540,lqr_perfect
0.037131433103762795,0.05224578678167309,0.16396323281765782,1.23,6.111709453881751,33,287852352,lqr_perfect
0.03146729215937346,0.05487717062112383,0.15589149878211508,0.8,5.284492674424217,34,823155374,lqr_perfect
0.0351802053010109,0.050256880061525795,0.14924668456790732,1.11,5.386489078035756,35,865678546,lqr_perfect
0.0348546068767191,0.05270046492580357,0.15856242522996192,0.9500000000000001,5.678867902174938,36,1941050025,lqr_perfect
0.03397845627899322,0.05463241887802494,0.16328127036001197,0.92,5.7743187989669815,37,436916801,lqr_perfect
0.0448472424198751,0.05019747261235896,0.18237835288697363,1.43,7.743821340199017,38,1078591221,lqr_perfect
0.03543936042090905,0.049755647334660015,0.1451399653287157,1.02,5.30856386056767,39,563313608,lqr_perfect
0.0355304114489123,0.05157014855527621,0.1582182996953777,1.03,5.70700463299335,40,42568569,lqr_perfect
0.03493638780749577,0.04861727976149787,0.14212068130979388,1.22,5.117595647916402,41,1611395863,lqr_perfect
0.03779403530244452,0.05470041398924829,0.17440646479713356,1.05,6.603749361446922,42,133188514,lqr_perfect
0.03499238820266554,0.05347300056266155,0.1602698525087135,0.93,5.7794108549534915,43,602173222,lqr_perfect
0.03476595519120142,0.05175703968883451,0.15590204748004974,0.93,5.5553420416159485,44,1069973050,lqr_perfect
0.03735733052137308,0.04834114893273579,0.14915067387247916,0.93,5.605771967664182,45,1041939683,lqr_perfect
0.04044983264167392,0.04575974331779324,0.15520492843217396,1.57,6.101909141647084,46,251122470,lqr_perfect
0.033186447201979975,0.05285824571229304,0.14885226635908394,0.9500000000000001,5.239295418487635,47,2106117098,lqr_perfect
0.03625182145502577,0.05299262411857115,0.1648536833898307,0.96,6.043576755712625,48,1608686207,lqr_perfect
0.035059215367317986,0.05706880709775076,0.17295412236039595,0.89,6.300293040791769,49,2065143097,lqr_perfect
0.03490408576016536,0.05611925146930464,0.17112593411789193,0.9,6.1782979124948465,50,197792238,lqr_perfect
0.03814809868708631,0.0514809281426405,0.16938248518568602,1.5,6.358789393381478,51,1556474545,lqr_perfect
0.038106912959765774,0.05111891601434518,0.16404484203786068,1.1400000000000001,6.20223797262993,52,629526660,lqr_perfect
0.03429178749932901,0.052325378699152,0.15439812133064443,1.07,5.484895718215114,53,1162275821,lqr_perfect
0.03408686606790263,0.054220321618783665,0.16221347135165595,0.9400000000000001,5.740928076193064,54,1986274267,lqr_perfect
0.035021210510591254,0.04890605777427775,0.14182536256851624,1.21,5.137339691373944,55,594619332,lqr_perfect
0.033354498329665624,0.05227462461498644,0.15053340104881482,0.9,5.268225864484129,56,1558804747,lqr_perfect
0.0373570301554395,0.048137822606994105,0.15066535167726597,1.12,5.629523953246578,57,344997561,lqr_perfect
0.0360556611583681,0.05006911954341514,0.14950712079683925,1.12,5.507555827563597,58,692725760,lqr_perfect
0.03607748630751058,0.054136179658828824,0.16485976592765667,1.03,6.0797599497711285,59,2082898963,lqr_perfect
0.034743913469808645,0.05371315897150184,0.16185438080502287,0.93,5.795396973091547,60,904342678,lqr_perfect
0.034023238120066,0.05003230497644709,0.1412578989260642,0.96,5.043357991643983,61,1108248847,lqr_perfect
0.036969570147534145,0.05442053246074688,0.17135352846364743,1.07,6.387085757496211,62,629145195,lqr_perfect
0.035452585284248564,0.05045195613043392,0.15278218315318254,1.08,5.513808811557336,63,248819507,lqr_perfect
0.03246103283268674,0.050370805338398,0.13729968160071324,0.99,4.771035310355568,64,911820705,lqr_perfect
0.03950542966038889,0.04455435463021544,0.14362367459437267,1.46,5.640357436456655,65,1338934053,lqr_perfect
0.033022001085879056,0.0526194281165024,0.15165804476230405,0.9,5.267319247128731,66,978390736,lqr_perfect
0.03478334489125912,0.04802811898338229,0.13792770508136057,1.09,4.9808921055363236,67,1667914286,lqr_perfect
0.03373617614427818,0.0527439069456176,0.15608395806939449,0.91,5.47002196714855,68,779217002,lqr_perfect
0.037223777593285885,0.04523412994197036,0.13703325226663748,1.33,5.183862797213492,69,1316414564,lqr_perfect
0.03714356909033673,0.047389292019079515,0.1450888489081741,1.41,5.439919230306962,70,1659553368,lqr_perfect
0.03419304153040294,0.05201500028852377,0.1528485794934506,1.05,5.419947236441534,71,1969881820,lqr_perfect
0.03580641469905203,0.05409694837797682,0.16521492119889442,1.0,6.047340372925737,72,917647715,lqr_perfect
0.03700935327558811,0.05212507904016075,0.16276775866640983,1.11,6.05840379356128,73,85025054,lqr_perfect
0.03791564591266317,0.047496729017619144,0.14341401960946787,1.27,5.525163039155774,74,1543026409,lqr_perfect
0.041067039996751924,0.049759193125666186,0.16196859496562963,1.23,6.5522953043286964,75,1135136798,lqr_perfect
0.03656879940420193,0.049121800199170625,0.1517777111974891,1.29,5.585728854742907,76,1872810736,lqr_perfect
0.03457717388028865,0.050371554900245585,0.14868203539354125,1.0,5.295678404638356,77,986416296,lqr_perfect
0.03576454002360977,0.055738411828407435,0.1712626289031198,0.9,6.282075639129125,78,790444289,lqr_perfect
0.03594229971949589,0.05108236112781285,0.15650303511317928,1.02,5.7008984274214125,79,133894701,lqr_perfect
0.036570916017873455,0.048714655094221196,0.14729225197492976,1.18,5.4668531616438,80,981769744,lqr_perfect
0.03558494501961913,0.0522799926079185,0.15657541775751355,1.0,5.7133491846401965,81,1377241755,lqr_perfect
0.03698211747085168,0.05030953569952313,0.15707475867041845,1.24,5.826642222447925,82,1653715900,lqr_perfect
0.03711623014239626,0.04968734277018673,0.14311860887744368,1.1500000000000001,5.505382375066753,83,1831015077,lqr_perfect
0.035561166253686,0.05496645279347034,0.1695219447737578,1.03,6.166437599223881,84,461373844,lqr_perfect
0.03673596396343465,0.04847285284298486,0.14969355357895442,1.1300000000000001,5.532074666763435,85,1273331139,lqr_perfect
0.03572569712942556,0.05520205917643245,0.1687316644383374,1.0,6.183092258651817,86,1727528594,lqr_perfect
0.0358152934755825,0.05354023041852854,0.16629203782704968,1.0,6.045073726624566,87,558555015,lqr_perfect
0.034252603196995586,0.054925292135761146,0.16472452278001581,0.87,5.8628039716186855,88,740102319,lqr_perfect
0.03420216211267449,0.05221603226997226,0.15435453504111585,0.93,5.4659066634668925,89,1803631831,lqr_perfect
0.03575445648586972,0.053303048958145166,0.15793502579075927,0.98,5.823186786810187,90,1248920237,lqr_perfect
0.03730205510445105,0.055185007438601885,0.17370097214530683,1.08,6.538309204622894,91,1094134073,lqr_perfect
0.03505398037203622,0.04810534232554406,0.14045617200036128,1.28,5.074492342696741,92,1446720799,lqr_perfect
0.035922464944212945,0.053789989474348786,0.16567589295805854,1.2,6.058717570712986,93,1097125524,lqr_perfect
0.039085290522814765,0.05138580962052971,0.1643912323960368,1.24,6.3753819050472185,94,2106555450,lqr_perfect
0.04000736183533107,0.057649164252949865,0.18914363260677722,0.89,7.510264289498901,95,1617120056,lqr_perfect
0.03687003804585763,0.05114622290511545,0.15670402737621622,1.1400000000000001,5.84392273223437,96,116244472,lqr_perfect
0.034606535525671195,0.04856893320869166,0.1413346512073055,1.23,5.052881027454185,97,317660152,lqr_perfect
0.038545594952417155,0.04929525736812934,0.16185295826198098,1.1400000000000001,6.1250691072301,98,1170534941,lqr_perfect
0.03511610863964329,0.04845774867474056,0.1396028596015636,1.1400000000000001,5.0825417975557095,99,1760134975,lqr_perfect
0.036453703432182974,0.048389437158005484,0.14507438265715977,1.08,5.38596046332573,100,148210009,lqr_perfect
0.03872665515921832,0.04665539622866483,0.14260414086336978,1.19,5.592730271630964,101,1467347456,lqr_perfect
0.033952705580750385,0.04984984246910662,0.1406951004090961,0.97,5.01291406425891,102,1631001374,lqr_perfect
0.03284168483100123,0.052467965781459,0.1493991508441986,0.87,5.185284105899413,103,1690277810,lqr_perfect
0.0366930276893363,0.047297212173035647,0.1462316615573603,1.24,5.393663415986526,104,1875496127,lqr_perfect
0.036648573366356095,0.051882316211040384,0.16334882353098232,1.21,6.0066532503123184,105,411492782,lqr_perfect
0.03994204756143221,0.0508759024487736,0.16905478516131284,1.17,6.599797560347367,106,1192456270,lqr_perfect
0.036359781223971384,0.053413204559533745,0.16427778012147293,1.21,6.0676045810506976,107,1723063914,lqr_perfect
0.03493827283224047,0.05175654153585523,0.1523121208588025,0.99,5.49746029275397,108,768793750,lqr_perfect
0.036578852506697186,0.046076030330896973,0.13600399630128976,1.1300000000000001,5.106309625674453,109,410865002,lqr_perfect
0.03295541542752487,0.04870354470023338,0.13550526137134483,0.91,4.716900458774722,110,1029694513,lqr_perfect
0.039395935981262405,0.044264607536882654,0.14606006174503622,1.31,5.6624393650119025,111,175132911,lqr_perfect
0.035159749352799634,0.05763476037194516,0.1805030749769514,0.88,6.544319396303139,112,472445100,lqr_perfect
0.04002405884770413,0.0483573169294263,0.1669649088304068,1.17,6.435984401370657,113,1836585941,lqr_perfect
0.034945272839524005,0.053036840153938385,0.15963407725037063,1.0,5.734542252263449,114,1433718042,lqr_perfect
0.03663059050903774,0.05436500387112556,0.17244555045583204,0.96,6.361949767564479,115,1849592223,lqr_perfect
0.03836834050847376,0.04960878387636318,0.1550518436297757,1.12,5.953814317355672,116,1803912902,lqr_perfect
0.0347326208618373,0.04807738197636059,0.13721838004949213,1.17,4.96176463564682,117,1882349080,lqr_perfect
0.03619887256702593,0.05263909625255789,0.15724429208496188,1.0,5.835860764494827,118,666884549,lqr_perfect
0.037187498351317676,0.04728166143831951,0.14870044974042762,1.18,5.519872779164868,119,1013418405,lqr_perfect
0.039172544736889074,0.046861860030485286,0.15528134284170436,1.3800000000000001,5.951303347255032,120,1325896902,lqr_perfect
0.03576271888471894,0.05273080834286526,0.15595914901433205,1.05,5.748134154235198,121,588514432,lqr_perfect
0.03675230374870544,0.04494021708140681,0.13293419265326437,1.21,5.018966185987975,122,1974475030,lqr_perfect
0.037089103495514066,0.048488737975678105,0.14827628290022946,1.1400000000000001,5.553735400671332,123,15229585,lqr_perfect
0.03771146399478167,0.04944140407185156,0.14931977274982566,1.26,5.716468447077883,124,1800089671,lqr_perfect
0.03985955409379936,0.05093903934182977,0.16932441397097026,1.31,6.596596999976604,125,1386675063,lqr_perfect
0.03611692430517741,0.06093113387476405,0.182204310981408,0.85,6.921848389739553,126,544083117,lqr_perfect
0.03569407656978049,0.04784404342830683,0.13996512593365973,1.24,5.1423379494678425,127,1545993628,lqr_perfect
0.03852091588093908,0.0478689228394183,0.15418496686056565,1.12,5.872641103944601,128,886956485,lqr_perfect
0.03852909640403416,0.049645548871628156,0.16123318456578697,1.2,6.1250371463919775,129,1794371228,lqr_perfect
0.03920697072755061,0.05243279737769779,0.17199973100371457,1.07,6.63818138012328,130,2143709453,lqr_perfect
0.03395159882032549,0.0542747329583349,0.1593162932662315,0.93,5.656539859968742,131,605328024,lqr_perfect
0.03554010670987929,0.05003483628839669,0.14667137600509098,1.1300000000000001,5.369865239005332,132,1009388424,lqr_perfect
0.035231039902851306,0.0503346519023206,0.14861978729024095,1.02,5.383741183227044,133,462177494,lqr_perfect
0.03497357265204241,0.0550736765627063,0.1662745967995448,0.96,6.008752367185174,134,1487220832,lqr_perfect
0.03432766905075737,0.055369886856749484,0.16611971311741847,0.96,5.9317760825610755,135,1372953683,lqr_perfect
0.03356916228764921,0.052638856785441515,0.15135848161519244,0.9500000000000001,5.334496792035574,136,1813665612,lqr_perfect
0.03735727447785771,0.04939782865640796,0.15702722358130428,1.08,5.835863272790215,137,1728842088,lqr_perfect
0.03530129611653711,0.05397364434162441,0.16721477568971524,0.98,6.01803796623613,138,2097930220,lqr_perfect
0.03428330420276454,0.054290086909006566,0.15747960650304627,0.93,5.659583820774539,139,2069467440,lqr_perfect
